[00:00:00.000 --> 00:00:05.500]  Think about all of the thousands of businesses that exist, that say they want to do something.
[00:00:05.500 --> 00:00:10.300]  They say we're going to give 1% or 10% of net profits away.
[00:00:10.300 --> 00:00:18.700]  There's no real way to validate that any of that happens until, you know, unless they file for bankruptcy or they go IPO or whatever it is.
[00:00:18.700 --> 00:00:27.200]  And so I thought why doesn't something like this exist in the direct consumer world, or for brands that are doing sub a billion dollars in revenue?
[00:00:27.200 --> 00:00:42.200]  You know, I should be able to get- if I go buy mascara, I don't buy mascara, but if I bought mascara from Rare Beauty, I should be able to take that Shopify receipt or that Sephora receipt, upload it into this app and get, you know, 25 cents.
[00:00:42.200 --> 00:00:50.200]  And when I get a dollar, then I can donate that to give a family 13 days of water in Africa and see that impact happening.
[00:00:51.200 --> 00:00:57.200]  This is Limited Supply, the place for refreshingly real takes on what D to C is really like.
[00:00:57.200 --> 00:01:01.200]  Where your host, Nik and Moiz? Let's start talking about money!
[00:01:01.200 --> 00:01:06.200]  Get paid monthly and take a year off from running your Shopify business with OpenStore Drive.
[00:01:06.200 --> 00:01:13.200]  OpenStore's experts will handle everything including your businesses marketing, customer support, inventory, and more.
[00:01:13.200 --> 00:01:21.200]  Shopify businesses with more than 500K and yearly net sales qualify had to open.store slash limited for details.
[00:01:21.200 --> 00:01:27.200]  Alright Moiz, we've got episode three, season six, it's our second in person episode.
[00:01:27.200 --> 00:01:34.200]  First one was kind of weird because people- there was 40 people, 80 eyeballs staring at us blinking straight out of a cartoon.
[00:01:34.200 --> 00:01:39.200]  But I'm excited for this episode. I've prepared some fun topics to go through.
[00:01:39.200 --> 00:01:43.200]  Some Moiz in this episode, we've got some interesting resources for people.
[00:01:43.200 --> 00:01:52.200]  We're going to cover show fields whether it's worth doing it and a checklist that founders can use to evaluate if opportunities like show fields come up.
[00:01:52.200 --> 00:01:58.200]  We'll give you a site that I- you are all that I made to protect you from Google's pricing transparency update.
[00:01:58.200 --> 00:02:03.200]  We're going to discuss one thing that a brand did not do that they should have done at launch,
[00:02:03.200 --> 00:02:06.200]  that would have made them a lot of money upfront but they didn't do.
[00:02:06.200 --> 00:02:10.200]  And I wrote out all the five things that they need to be doing so that's at the end of the episode.
[00:02:10.200 --> 00:02:11.200]  Can't wait for that.
[00:02:11.200 --> 00:02:16.200]  Alright, so the first one, it's actually an idea. I'm curious about your thoughts here.
[00:02:16.200 --> 00:02:23.200]  It's a charitable focused idea and I was inspired by- I went to the Main Street Summit a couple weeks ago
[00:02:23.200 --> 00:02:28.200]  and I saw this guy named Scott talk about his charity called Charity Water.
[00:02:28.200 --> 00:02:33.200]  Charity Water is really cool, they get 100% of the donation to building water wells around the world.
[00:02:33.200 --> 00:02:42.200]  And so I thought what can we do in our capitalistic world that creates some offspring to go and focus on charity?
[00:02:42.200 --> 00:02:50.200]  So I saw recently- I think it was like an aerosol can and at the bottom it had- it said box tops.
[00:02:50.200 --> 00:02:51.200]  Do you remember box tops?
[00:02:51.200 --> 00:02:52.200]  No.
[00:02:52.200 --> 00:03:00.200]  Okay, so box tops is weird to me that it was on an aerosol can because box tops originated by General Mills in 1996.
[00:03:00.200 --> 00:03:06.200]  So when I was born, General Mills said we're gonna put- I know you like that.
[00:03:06.200 --> 00:03:13.200]  When I was born, General Mills said we're gonna put a little stamp or rectangle on the top of a Lucky Charms box.
[00:03:13.200 --> 00:03:18.200]  You buy the box four bucks of cereal, you cut out the top, your kid takes it to school,
[00:03:18.200 --> 00:03:22.200]  the school can cash it in for a donation from General Mills.
[00:03:22.200 --> 00:03:24.200]  I've never even- didn't even know you could do that.
[00:03:24.200 --> 00:03:25.200]  Yeah.
[00:03:25.200 --> 00:03:27.200]  And as born 1984 and I ate more cereal than you did, I bet.
[00:03:27.200 --> 00:03:34.200]  Yeah well my mom never bought like General Mills cereal, it was always the one in like the organic aisle so I never got this opportunity.
[00:03:34.200 --> 00:03:39.200]  But I was always jealous of the kids who came in with their box tops, tabs.
[00:03:39.200 --> 00:03:40.200]  So anyways-
[00:03:40.200 --> 00:03:43.200]  Well they sound like they had- like you know they were eating sugar and you were eating sugar.
[00:03:43.200 --> 00:03:44.200]  The better stuff so-
[00:03:44.200 --> 00:03:45.200]  Yeah definitely.
[00:03:45.200 --> 00:03:49.200]  So every cut of this little rectangle cut, you know kid parts-
[00:03:49.200 --> 00:03:51.200]  Yeah I know what you're talking about, I remember seeing it now yeah.
[00:03:51.200 --> 00:03:57.200]  Ten cents was how much it was worth and then I thought okay what about-
[00:03:57.200 --> 00:04:02.200]  Did you ever see that move the Netflix docky series of Pepsi when they had the rewards program?
[00:04:02.200 --> 00:04:05.200]  Yeah I mean we read about that case in contracts law.
[00:04:05.200 --> 00:04:10.200]  Yeah and so I thought like what's the scenario here is that possible but no they cap it at 20k.
[00:04:10.200 --> 00:04:11.200]  So 20k a year-
[00:04:11.200 --> 00:04:12.200]  For any school.
[00:04:12.200 --> 00:04:13.200]  Okay gotcha.
[00:04:13.200 --> 00:04:16.200]  Tell about the story about the Pepsi thing really quick life.
[00:04:16.200 --> 00:04:24.200]  Yeah so Pepsi basically set up a genius rewards program back when nobody had a rewards program and they basically said for every-
[00:04:24.200 --> 00:04:28.200]  Was it a bottle cap or 12 pack or like yeah yeah.
[00:04:28.200 --> 00:04:30.200]  You'd get some form of currency in your pack of things.
[00:04:30.200 --> 00:04:36.200]  Yeah you send it into Pepsi and they log how many Pepsi points you have and you can get,
[00:04:36.200 --> 00:04:39.200]  you know it was really to drive merch and kind of brand awareness.
[00:04:39.200 --> 00:04:41.200]  Yeah I had a Pepsi double bag from there.
[00:04:41.200 --> 00:04:42.200]  Yeah oh really?
[00:04:42.200 --> 00:04:43.200]  Yeah I loved it.
[00:04:43.200 --> 00:04:45.200]  It cost me 200 Pepsi points I still remember it.
[00:04:45.200 --> 00:04:46.200]  Oh that's amazing.
[00:04:46.200 --> 00:04:54.200]  In their commercial some ad agency said you know if you get 35 I think it was 35 million or 17 million Pepsi points we'll buy you a jet.
[00:04:54.200 --> 00:04:56.200]  Yeah and there was no disclaimer.
[00:04:56.200 --> 00:05:01.200]  And it was a hairier fighter jet to be clear not just like an airplane but like a military aircraft.
[00:05:01.200 --> 00:05:02.200]  Full military aircraft.
[00:05:02.200 --> 00:05:10.200]  Yeah and one kid saw it and raised money from an investor to go get all of these things they consulted with lawyers to make sure that
[00:05:10.200 --> 00:05:15.200]  from the ad it was allowed and they did it and I think they ended up settling after.
[00:05:15.200 --> 00:05:22.200]  Well the guy he like sent in all the points and he said send me the hairier fighter jet and Pepsi's like that's a joke.
[00:05:22.200 --> 00:05:29.200]  And so he sued Pepsi and he's like give me the hairier fighter jet and I'm almost certain it was this case in contracts law that we read.
[00:05:29.200 --> 00:05:33.200]  And the judge was like like a frog when you dissect a joke you kill it.
[00:05:33.200 --> 00:05:39.200]  Yeah and you know the judge was like okay this is not required you don't need to give the hairier jet because
[00:05:39.200 --> 00:05:45.200]  otherwise you could you know you'd have an army now anyway this is a size tell me about the charity thing.
[00:05:45.200 --> 00:05:50.200]  Okay so they had this program for a while right you cut it out the top.
[00:05:50.200 --> 00:05:57.200]  Campals had something similar called labels for education in fact I saw that a lot of other companies had something
[00:05:57.200 --> 00:06:02.200]  so Pampers have something has something called Gifts to Grow where PNG donates to charity.
[00:06:02.200 --> 00:06:08.200]  Coke has my coke rewards where I think you can get some swag out of it but most people donate it to schools or charity.
[00:06:08.200 --> 00:06:13.200]  Kellogg's has Kellogg's family rewards you scan the receipt to donate something to charity.
[00:06:13.200 --> 00:06:19.200]  Essentially it's a huge write-off as well as a big brand building scheme for these companies and
[00:06:19.200 --> 00:06:22.200]  it's not used towards scheme.
[00:06:22.200 --> 00:06:24.200]  Yeah I was trying to think of something else.
[00:06:24.200 --> 00:06:26.200]  This charity is a scheme.
[00:06:26.200 --> 00:06:29.200]  In addition, in addition to the bad word.
[00:06:29.200 --> 00:06:37.200]  And so you know it's not classified as a business like if you ask the spokesperson they don't say it's a business or a department
[00:06:37.200 --> 00:06:40.200]  of business and they don't say it's a charity.
[00:06:40.200 --> 00:06:42.200]  They say it's something kind of in between.
[00:06:42.200 --> 00:06:51.200]  So anyways so in 2019 October 2019 box tops launched an app and the app the idea was we're going to stop
[00:06:51.200 --> 00:06:56.200]  getting people to cut these things out and take them manually and then the school has to manually process it.
[00:06:56.200 --> 00:06:58.200]  We're just going to do it all through an app.
[00:06:58.200 --> 00:07:01.200]  And so the way they do it is you kind of like I bought it.
[00:07:01.200 --> 00:07:06.200]  You buy the product, you scan your receipt and then based on your receipt you can allocate the school you want to send it to.
[00:07:06.200 --> 00:07:15.200]  The people who are buying this their initial thought was oh these guys are invading our privacy which is a wild thought to have but it makes sense.
[00:07:15.200 --> 00:07:24.200]  Like if my mom was scanning her receipts she'd probably have the same thought and the donations dropped a ton like first they drop by a third then they drop by 90%
[00:07:24.200 --> 00:07:32.200]  and so a school that was supposed to make you know 20 grand or $14,000 was now making a couple hundred bucks.
[00:07:32.200 --> 00:07:40.200]  Then I started thinking okay is there a company that exists like what if you were to buy native and every time you bought native instead of
[00:07:40.200 --> 00:07:48.200]  native on their site saying you know when you buy we're going to donate 1% to charity or whatever it's like in this case if you buy native
[00:07:48.200 --> 00:07:57.200]  or if you go to Sephora and buy a serum you know you get 25 cents put into an account in a universal app so this app has to work across everything.
[00:07:57.200 --> 00:07:59.200]  And then you can decide where that money goes.
[00:07:59.200 --> 00:08:07.200]  And so there is one company called Fetch Rewards but they only work with the Pepsi's, the General Mills, the Lori Al's, the Colgate to the world.
[00:08:07.200 --> 00:08:17.200]  But think about all of the thousands of businesses that exist that say they want to do something you know they say oh we're going to give 1% or 10% of net profits away
[00:08:17.200 --> 00:08:27.200]  there's no real way to validate that any of that happens until you know unless they file for bankruptcy or they go IPO or whatever it is.
[00:08:27.200 --> 00:08:35.200]  And so I thought why doesn't something like this exist in the direct consumer world or for brands that are doing sub a billion dollars in revenue.
[00:08:35.200 --> 00:08:46.200]  You know I should be able to get if I go buy mascara, I don't buy mascara but if I bought mascara from Rare Beauty I should be able to take that Shopify receipt or that Sephora receipt
[00:08:46.200 --> 00:08:56.200]  uploaded into this app and get you know 25 cents and when I get a dollar then I can donate that to give a family 13 days of water in Africa
[00:08:56.200 --> 00:08:58.200]  and see that impact happening.
[00:08:58.200 --> 00:09:13.200]  And one it's sort of a way to make it easy for everybody to see that their, that the brand is actually doing something to the consumers feel like oh you know if I buy Rare Beauty over Lori Al maybe I'll get an extra 3 cents or an extra 5 cents
[00:09:13.200 --> 00:09:21.200]  that makes me feel better as a customer and also 3 it just like it's so easy to do like I'm sure I'm shocked nobody has done this
[00:09:21.200 --> 00:09:26.200]  and I thought the first the easiest person that could probably do this overnight is probably the shop app.
[00:09:26.200 --> 00:09:35.200]  I like your idea for a couple reasons as a business I like it because there's a real moat like you know the moat is everybody uses us
[00:09:35.200 --> 00:09:49.200]  like you know if you've got an app right let's say it was called like you know Nick Sharma app everyone uses Nick Sharma app across multiple brands from Rare Beauty to Native to Quip to whoever is on Shopify to say hey look your money is going to be earned on the Nick Sharma app
[00:09:49.200 --> 00:09:52.200]  go to the Nick Sharma app to like decide where you want to put it.
[00:09:52.200 --> 00:10:00.200]  So I think the Nick Sharma app all of a sudden has a moat which is only one business will have the network effects to make sure that we aggregate and all.
[00:10:00.200 --> 00:10:08.200]  The thing I'm not sure about is twofold one is does anyone like is the amount ever large enough.
[00:10:08.200 --> 00:10:16.200]  Is the amount ever large enough to really make a difference for the rare beauties of the world like for instance if I was going to buy a L'Oreal makeup or a rare beauty makeup.
[00:10:16.200 --> 00:10:27.200]  I wouldn't be like oh well I'm going to get 3 cents or like 10 cents or maybe even 50 cents to go donate to somebody because generally the AOV is $80 like I'm not thinking about 50 cents.
